"ItemId","ItemName","Brand","Model","Detail","SaleLimit","IsActive","CatId","FxSalePrice","UKey","Unt","CStk","CCost","RetailPrice","ItmDisc","QtyBelow","MinPrice","QtyUpTo"
"PaChSWSKO4OPNER","Parts/tool","China","SW SKO4 OPNER","","2","false","1","350",,"Pc","0","0","400","0","10","0","50"
"PaChT3SADA","Parts/tool","China","T3 SADA","","2","false","1","40",,"Pc","0","0","50","0","10","0","50"
"PaCHT3STEEL","Parts/tool","CHINA","T3 STEEL","","2","false","1","170",,"Pc","0","0","200","0","10","0","50"
"PaCHT4SAADA","Parts/tool","CHINA","T4 SAADA","","2","false","1","40",,"Pc","0","0","50","0","10","0","50"
"PaChT4SADARED","Parts/tool","China","T4 SADA RED","","2","false","1","40",,"Pc","0","0","50","0","10","0","50"
"PaCHT4STEEL","Parts/tool","CHINA","T4 STEEL","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaChT5SADA","Parts/tool","China","T5 SADA","","0","false","1","40",,"Pc","0","0","50","0","10","0","50"
"PaChT5STEEL","Parts/tool","China","T5 STEEL","","2","false","1","170",,"Pc","0","0","200","0","10","0","50"
"PaChT6SADA","Parts/tool","China","T6 SADA","","2","false","1","40",,"Pc","0","0","50","0","10","0","50"
"PaCHT6STEEL","Parts/tool","CHINA","T6 STEEL","","2","false","1","170",,"Pc","0","0","200","0","10","0","50"
"PaCHT7000BLACKG","Parts/tool","CHINA","T7000 BLACK GSE 110 ML","","2","false","1","150",,"Pc","0","0","200","0","10","0","50"
"PaChT700TG50ML","Parts/tool","China","T700 TG 50 ML","","2","false","1","180",,"Pc","0","0","200","0","10","0","50"
"PaChT700YELLOW5","Parts/tool","China","T700 YELLOW 50 ML","","0","false","1","130",,"Pc","0","0","150","0","10","0","50"
"PaChT800110MLMA","Parts/tool","China","T800 110 ML MACANI","","2","false","1","210",,"Pc","0","0","250","0","10","0","50"
"PaChTAPEDABELBL","Parts/tool","China","TAPE DABEL BLACK CHAINA","","0","false","1","250",,"Pc","0","0","300","0","10","0","50"
"PaChTAPEDABELRE","Parts/tool","China","TAPE DABEL RED BREEK CHAINA","","2","false","1","170",,"Pc","0","0","200","0","10","0","50"
"PaChTAPEDABELWH","Parts/tool","China","TAPE DABEL  WHITE 1 INCH","","2","false","1","120",,"Pc","0","0","150","0","10","0","50"
"PaCHTAPEDOCTER","Parts/tool","CHINA","TAPE DOCTER","","2","false","1","90",,"Pc","0","0","100","0","10","0","50"
"PaCHTAPEDOUBLEH","Parts/tool","CHINA","TAPE DOUBLE HALF INCH","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaCHTAPEDOUBLEM","Parts/tool","CHINA","TAPE DOUBLE MOTI","","2","false","1","120",,"Pc","0","0","150","0","10","0","50"
"PaCHTAPEHEATSIN","Parts/tool","CHINA","TAPE HEAT SINK","","2","false","1","450",,"Pc","0","0","500","0","10","0","50"
"PaChTAPESHISHA1","Parts/tool","China","TAPE SHISHA 1 INCH","","2","false","1","140",,"Pc","0","0","150","0","10","0","50"
"PaCHTAPESTAND","Parts/tool","CHINA","TAPE STAND","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaChTAPETAGE","Parts/tool","China","TAPE TAGE","","2","false","1","80",,"Pc","0","0","100","0","10","0","50"
"PaChTASADARED","Parts/tool","China","TA SADA RED","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaChTEY08STEEL","Parts/tool","China","TEY 0.8 STEEL FANCI","","2","false","1","230",,"Pc","0","0","300","0","10","0","50"
"PaChTIKAPASTUV5","Parts/tool","China","TIKA PAST UV559","","2","false","1","500",,"Pc","0","0","550","0","10","0","50"
"PaChTOOLTOKRI","Parts/tool","China","TOOL TOKRI","","2","false","1","250",,"Pc","0","0","300","0","10","0","50"
"PaCHTOYOSOLDER","Parts/tool","CHINA","TOYO SOLDER","","2","false","1","380",,"Pc","0","0","400","0","10","0","50"
"PaCHTSETJK6036A","Parts/tool","CHINA","T SET JK 6036 A","","2","false","1","350",,"Pc","0","0","400","0","10","0","50"
"PaChTSETJM999","Parts/tool","China","T SET JM 999","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaChTSETJYDM822","Parts/tool","China","T SET JYD M 8222","","2","false","1","380",,"Pc","0","0","400","0","10","0","50"
"PaChTWEEZERKOKU","Parts/tool","China","TWEEZER KOKU HOLE WALI","","2","false","1","330",,"Pc","0","0","400","0","10","0","50"
"PaChTWEEZERKOOC","Parts/tool","China","TWEEZER  VANAL V11","","2","false","1","300",,"Pc","0","0","350","0","10","0","50"
"PaChTWIZERESD1","Parts/tool","China","TWIZER ESD-11","","2","false","1","250",,"Pc","0","0","350","0","10","0","50"
"PaChTWIZZERSUNL","Parts/tool","China","TWIZZER SUNLONG","","2","false","1","4",,"Pc","0","0","250","0","10","0","50"
"PaChZEANERN4148","Parts/tool","China","ZEANER N4148","","2","false","1","3",,"Pc","0","0","5","0","10","0","50"
"PaIc1610A3B","Parts/tool","Ic","1610 A3B","","0","false","1","400",,"Pc","0","0","650","0","10","0","50"
"PaIc6358VW","Parts/tool","Ic","6358VW","","0","false","1","600",,"Pc","0","0","800","0","10","0","50"
"PaIc98611","Parts/tool","Ic","98611","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
"PaIcAL61IC","Parts/tool","Ic","AL61 IC","","0","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PaIcAL62IC","Parts/tool","Ic","AL62 IC","","0","false","1","200",,"Pc","0","0","300","0","10","0","50"
"PaIcAL65IC","Parts/tool","Ic","AL65 IC","","0","false","1","200",,"Pc","0","0","300","0","10","0","50"
"PaIcBQ24157A","Parts/tool","Ic","BQ24157A","","0","false","1","400",,"Pc","0","0","600","0","10","0","50"
