"CityId","City","ContId"
"263","Toba Tek Singh","1"
"264","Ubauro","1"
"265","Umerkot","1"
"266","Wana","1"
"267","Warsak Dam","1"
"268","Wazirabad","1"
"269","Yazman","1"
"270","Zhob","1"
"271","Ziarat","1"
"272","Alipur Chatha","1"
"273","Not Applicable","1"
